,,,,,,,20/08/2026,RELATÓRIO BAHIA ATUALIZADO,,,,20/08/2026,,EM VERDE DATA REPROGRAMADA,,20/08/2026,,,,,,,,
,,,EM VERMELHO CÓD. DA CARTELA NÃO LOCALIZADO,,,,20/08/2026 07:24:46,,,,DÚVIDA CLICA AQUI,https://encurtador.com.br/2bDAO,,SEMPRE VERIFICAR O FILTRO PRAZO,,,,,,,,,,
Coluna 1,cartela,CLIENTE,CÓD. FILIAL,PEDIDO,CÓD. CLIENTE,CÓD. MARFIM,DESCRIÇÃO,TAMANHO,ORD. COMPRA,QTD. ABERTA,LOTES,código OS,DT. RECEBIMENTO,DT. ENTREGA,PRAZO,POSIÇÃO NA PRODUÇÃO,DATA SISTEMA,Coluna 2,DATA ALTERADA,cartelas,CÓDIGO ALTERADO,Column 24,códigos do sistema,conta e ordem
1,OK,DASS SEST,7,139045,1320254,91023,FITA M31119 C/ GOMA POLIESTER COR 114 / COR 100 / COR 100,16MM,15757165,160,133756,0,27/05/2026,20/08/2026,0,,24/08/2026,,20/08/2026,,#N/A,1320254,FILA,
2,OK,DASS SEST,7,139045,1353470,92963,FITA M31119 C/ GOMA POLIESTER COR 102 / COR 100 / COR 100,16MM,15757165,270,133756,0,27/05/2026,20/08/2026,0,,24/08/2026,,20/08/2026,,#N/A,1353470,FILA,
3,OK,DASS SEST,7,139046,1423777,95490,ATAC. M60132 ALPINA COR 2001,135CM,15757173,216,133757,15744418SBF806248,27/05/2026,20/08/2026,0,,24/08/2026,,20/08/2026,,#N/A,1423777,FILA,
4,OK,DASS SEST,7,139046,1423777,95490,ATAC. M60132 ALPINA COR 2001,145CM,15757173,216,133757,15744418SBF806248,27/05/2026,20/08/2026,0,,24/08/2026,,20/08/2026,,#N/A,1423777,FILA,
53,OK,DASS SEST,7,139045,1220522,82626,FITA M31119 C/ GOMA POLIESTER COR 114 / COR 100 / COR 100,16MM,15757165,160,133756,0,27/05/2026,20/08/2026,0,,24/08/2026,,20/08/2026,,#N/A,1220522,FILA,
54,OK,DASS SEST,7,139045,1220522,82626,FITA M31119 C/ GOMA POLIESTER COR 114 / COR 100 / COR 100,16MM,15757165,160,133756,0,27/05/2026,20/08/2026,0,,24/08/2026,,20/08/2026,,#N/A,1220522,FILA,
55,OK,DASS SEST,7,139045,1359543,95706,FITA M31119 C/ GOMA POLIESTER COR 114 / COR 100 / COR 100,16MM,15757165,160,133756,0,27/05/2026,20/08/2026,0,,24/08/2026,,20/08/2026,,#N/A,1359543,FILA,
80,OK,DASS SEST,7,139045,1359543,95706,FITA M31119 C/ GOMA POLIESTER COR 114 / COR 100 / COR 100,16MM,15757165,160,133756,0,27/05/2026,20/08/2026,0,,24/08/2026,,20/08/2026,,#N/A,1359543,FILA,
81,OK,DASS SEST,7,139045,1411433,95384,FITA M31119 C/ GOMA POLIESTER COR 102 / COR 100 / COR 100,16MM,15757165,270,133756,0,27/05/2026,20/08/2026,0,,24/08/2026,,20/08/2026,,#N/A,1411433,FILA,
82,OK,DASS SEST,7,139046,1316829,87946,ATAC. M60132 ALPINA COR 2001,135CM,15757173,216,133757,15744418SBF806248,27/05/2026,20/08/2026,0,,24/08/2026,,20/08/2026,,#N/A,1316829,FILA,
131,OK,DASS SEST,7,139045,1200469,74007,FITA M31119 C/ GOMA POLIESTER COR 114 / COR 100 / COR 100,16MM,15757165,160,133756,0,27/05/2026,20/08/2026,0,,24/08/2026,,20/08/2026,,#N/A,1200469,FILA,
