,,,,,,,28/07/2026,RELATÓRIO BAHIA ATUALIZADO,,,,28/07/2026,,EM VERDE DATA REPROGRAMADA,,28/07/2026,,,,,,,,
,,,EM VERMELHO CÓD. DA CARTELA NÃO LOCALIZADO,,,,28/07/2026 10:10:01,,,,DÚVIDA CLICA AQUI,https://encurtador.com.br/2bDAO,,SEMPRE VERIFICAR O FILTRO PRAZO,,,,,,,,,,
Coluna 1,cartela,CLIENTE,CÓD. FILIAL,PEDIDO,CÓD. CLIENTE,CÓD. MARFIM,DESCRIÇÃO,TAMANHO,ORD. COMPRA,QTD. ABERTA,LOTES,código OS,DT. RECEBIMENTO,DT. ENTREGA,PRAZO,POSIÇÃO NA PRODUÇÃO,DATA SISTEMA,Coluna 2,DATA ALTERADA,cartelas,CÓDIGO ALTERADO,Column 24,códigos do sistema,conta e ordem
2259,NÃO,MARFIM CEARA,105,140647,,89560,ATAC. MR140019 6MM RECICLADO COR 5709,6MM,4,43531,135418,,08/07/2026,24/07/2026,-4,,24/07/2026,,,,#N/A,,,
1629,OK,DASS SEST,7,140823,1401203,93294,FITA M31119 C/ GOMA POLIESTER COR 4798 / COR 114 / COR 161,16MM,15923861,30,135531,818052,14/07/2026,28/07/2026,0,,28/07/2026,,,,#N/A,1401203,FILA,
110,OK,DASS SEST,7,139042,1048885,70164,FITA MFGP C/ GOMA POLIESTER COR 100,6MM,15756812,60,133753,0,27/05/2026,30/07/2026,2,,03/08/2026,,30/07/2026,,#N/A,1048885,FILA,
111,OK,DASS SEST,7,139042,998350,70164,FITA MFGP C/ GOMA POLIESTER COR 100,10MM,15756812,90,133753,0,27/05/2026,30/07/2026,2,OK,03/08/2026,,30/07/2026,,#N/A,998350,FILA,
123,OK,DASS SEST,7,139045,1400623,95146,FITA M31119 C/ GOMA POLIESTER COR 447 / COR 114 / COR 114,16MM,15757165,180,133756,0,27/05/2026,30/07/2026,2,,24/08/2026,,30/07/2026,,#N/A,1400623,FILA,
234,OK,DASS SEST,7,139297,998350,70164,FITA MFGP C/ GOMA POLIESTER COR 100,10MM,15777758,120,133934,0,02/06/2026,30/07/2026,2,OK,03/08/2026,,30/07/2026,,#N/A,998350,FILA,
392,OK,DASS SEST,7,139931,1146621,78187,FITA MFGP C/ GOMA POLIESTER COR 053,8MM,15849654,440,134607,0,22/06/2026,30/07/2026,2,,03/08/2026,,30/07/2026,,#N/A,1146621,FILA,
403,OK,DASS SEST,7,139932,998350,70164,FITA MFGP C/ GOMA POLIESTER COR 100,10MM,15849658,120,134608,0,22/06/2026,30/07/2026,2,OK,10/08/2026,,30/07/2026,,#N/A,998350,FILA,
409,OK,DASS SEST,7,139932,1269691,85854,FITA MFGP C/ GOMA POLIESTER COR 4039,8MM,15849658,50,134608,0,22/06/2026,30/07/2026,2,,10/08/2026,,30/07/2026,,#N/A,1269691,FILA,
413,OK,DASS SEST,7,139932,1294763,89100,FITA M31119 C/ GOMA POLIESTER COR 102 / COR 5535 / COR 5535,16MM,15849658,170,134608,0,22/06/2026,30/07/2026,2,,10/08/2026,,30/07/2026,,#N/A,1294763,FILA,
420,OK,DASS SEST,7,139932,1416744,95300,FITA M31119 C/ GOMA POLIESTER COR 814 / COR 100 / COR 100,16MM,15849658,90,134608,0,22/06/2026,30/07/2026,2,,10/08/2026,,30/07/2026,,#N/A,1416744,FILA,
430,OK,DASS SEST,7,139935,1320158,91407,FITA M31119 C/ GOMA POLIESTER COR 324 / COR 5508 / COR 5508,16MM,15849663,330,134611,0,22/06/2026,30/07/2026,2,,07/09/2026,,30/07/2026,,#N/A,1320158,FILA,
1414,OK,DASS SEST,7,140570,1403346,92488,FITA MFGP C/ GOMA POLIESTER COR 6001,10MM,15898990,70,135526,0,07/07/2026,30/07/2026,2,,17/08/2026,,30/07/2026,,#N/A,1403346,FILA,
1665,OK,DASS SEST,7,140852,1409206,93274,FITA MFGP C/ GOMA POLIESTER COR 458,12MM,15929342,180,135563,0,15/07/2026,30/07/2026,2,,03/08/2026,,30/07/2026,,#N/A,1409206,FILA,
1667,OK,DASS SEST,7,140853,1175396,75595,ATAC. M13725 6MM POLIESTER COR 100,90CM,15929344,564,135564,15928739BR314854,15/07/2026,30/07/2026,2,,03/08/2026,,30/07/2026,,#N/A,1175396,FILA,
