ID_UNICO,CARTELA,CLIENTE,PEDIDO,CÓD. CLIENTE,CÓD. MARFIM,DESCRIÇÃO,TAMANHO,ORD. COMPRA,QTD. ABERTA,CÓD. OS,DATA RECEB.,DT. ENTREGA,PRAZO,Status,MARCAR_FATURAR,DATA_STATUS,POSICAO_FONTE,CODIGO_FIXO,INFO_X,LOTE,MARCAR_FATURAR_USUARIO,LOTE_EMISSAO,PERFIL_EMISSAO,SEQUENCIA,INFO_Y
DASS SEST71390459102316MM1585578520260527-1,OK,DASS SEST,139045,1320254,91023,FITA M31119 C/ GOMA POLIESTER COR 114 / COR 100 / COR 100 [61393f7f-0a49-472a-a34c-60a73fad1881],16MM,15855785,160,0,27/05/2026,20/08/2026,0,Faturado,,20/08/2026,900065,fd4d0cc0-cffa-493a-8f89-d5fa6568d02d,NIKE,133756,,,,,
DASS SEST71390459296316MM1585578520260527-1,OK,DASS SEST,139045,1353470,92963,FITA M31119 C/ GOMA POLIESTER COR 102 / COR 100 / COR 100 [65471d5b-e548-4aee-8ddb-a4ede76d207d],16MM,15855785,270,0,27/05/2026,20/08/2026,0,Faturado,,20/08/2026,900066,c9979900-3390-4aae-ab4d-53f6564db04a,NIKE,133756,,,,,
DASS SEST713904695490135CM1585578515744418SBF80624820260527-1,OK,DASS SEST,139046,1423777,95490,ATAC. M60132 ALPINA COR 2001 [66ce78ad-8ae8-41c2-a21a-5feaf0a874f1],135CM,15855785,0,15744418SBF806248,27/05/2026,20/08/2026,0,Faturado,,20/08/2026,900067,a08d7dc0-9be1-4232-9eb6-a321e1889ece,NIKE,133757,"{""BAIXA1"":""FRAN""}",FAT-211,BAIXA1,,
DASS SEST713904695490145CM1585578515744418SBF80624820260527-1,OK,DASS SEST,139046,1423777,95490,ATAC. M60132 ALPINA COR 2001 [3715290e-64be-4764-b1e1-dd1b1dbaa5b5],145CM,15855785,0,15744418SBF806248,27/05/2026,20/08/2026,0,Faturado,,20/08/2026,900068,21a80bdb-eb73-48ca-89af-0707d20d6fed,NIKE,133757,"{""BAIXA1"":""FRAN""}",FAT-211,BAIXA1,,
DASS SEST71393718794616MM1585578520260604-1,OK,DASS SEST,139371,1316829,87946,FITA M31119 C/ GOMA POLIESTER COR 100/ COR 5535/ COR 102 [eaf18f57-494b-4eae-8ddf-aaf7eef885de],16MM,15855785,100,0,04/06/2026,20/08/2026,0,Faturado,,20/08/2026,900069,37dd6c2f-9965-41d8-8c04-551275857e1c,NIKE,133998,,,,,
DASS SEST71399399517616MM1585578520260622-1,OK,DASS SEST,139939,1320199,95176,FITA M31119 C/ GOMA POLIESTER COR 053 / COR 114 / COR 114 [8719cb2d-0a21-4cf0-ab08-d5ad26c1223a],16MM,15855785,380,0,22/06/2026,20/08/2026,0,Faturado,,20/08/2026,900070,ebfe7550-acfe-4533-bcdf-4070e80b3319,NIKE,134615,,,,,
DASS SEST71399399530116MM1585578520260622-1,OK,DASS SEST,139939,1416908,95301,FITA M31119 C/ GOMA POLIESTER COR 6038 / COR 5508 / COR 5508 [97fbc467-b598-43af-8050-3c28c463b680],16MM,15855785,410,0,22/06/2026,20/08/2026,0,Faturado,,20/08/2026,900071,fd17d380-9045-4f25-b421-f24b830ebfac,NIKE,134615,,,,,
DASS ITABERABA701395619295015MM1585578520260611-1,OK,DASS ITABERABA,139561,1403527,92950,FITA M32207 C/ GOMA POLIESTER COR 114 / COR 491 / COR 114 [be8eeb8b-52b4-487c-b3f0-094c28d701ac],15MM,15855785,130,0,11/06/2026,20/08/2026,0,Faturado,,20/08/2026,900073,f386cfab-2506-4bbd-8029-857f0b7007b9,NIKE,134308,,,,,
DASS ITABERABA7013956273819115CM1585578515800641SBF80626920260611-1,OK,DASS ITABERABA,139562,1051608,73819,ATAC. M21020 8MM POLIESTER COR 114 [b9527117-4280-4bc4-b900-6914458cac44],115CM,15855785,0,15800641SBF806269,11/06/2026,20/08/2026,0,Faturado,,20/08/2026,900074,8a8e839a-a7fe-4004-a0c4-6f9528f58146,NIKE,134309,"{""BAIXA1"":""GERSY""}",FAT-212,BAIXA1,,
DASS ITABERABA7013956273819125CM1585578515800641SBF80626920260611-1,OK,DASS ITABERABA,139562,1051608,73819,ATAC. M21020 8MM POLIESTER COR 114 [5e762427-66b2-4791-baa8-991312ca9e45],125CM,15855785,0,15800641SBF806269,11/06/2026,20/08/2026,0,Faturado,,20/08/2026,900075,bdf476f6-c5f0-4c14-a6e0-c93676ac6253,NIKE,134309,"{""BAIXA1"":""GERSY""}",FAT-212,BAIXA1,,
